// range 230¿¡ scope 170ÀÌ º¸Åë¸Ê ¼³Á¤
// range_IN : ¸Ê¿¡ ÁøÀÔ½Ã range

// rotationFrom -360 , To : 360 ÀÌ º¸Åë¸Ê ¼³Á¤
// rotation_IN :  ¸Ê¿¡ ÁøÀÔ½Ã rotation_IN À¸·Î ÁøÀÔ

// altitudeFrom -50 , To : -65 ÀÌ º¸Åë¸Ê ¼³Á¤ 
//              -25 ´Â º¸Åë¸ÊÀÇ ÃÖ´ëÇã¿ë¹üÀ§
// altitude_IN : ¸Ê¿¡ ÁøÀÔ½Ã altitude_INÀ¸·Î ÁøÀÔ

//nome do mapa  zoom_MIN zoomMAX  zoomENTRADA(melhor deixar <= zoom_MIN + zoom_MAX)           
// ¸Ê ÀÌ¸§ 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//ex_map02.rsw#	250#	400#	699#		-360#		360#		0#		-50#		-65#		-65#


////  instancias ////
moc_pryd04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_pryd05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_pryd06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_prydb1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjo_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjo_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
mjo_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
orcsdun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
orcsdun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_dun00.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_dun04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_maze01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_maze02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_maze03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_sewb1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_sewb2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_sewb3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_sewb4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
treasure01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
treasure02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hunter_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hunter_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
hunter_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
in_hunter.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
knight_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
knight_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
knight_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
priest_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
priest_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
priest_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
sword_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
sword_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
sword_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
job_thief1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
wizard_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
wizard_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
wizard_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_1-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_2-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_3-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_1-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_2-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
force_3-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_1-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_2-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_3-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_1-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_2-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_3-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_1-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_2-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ordeal_3-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alb_ship.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alberta.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alberta_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alb2trea.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
aldebaran.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
aldeba_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gef_tower.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
geffen.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
geffen_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_castle.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_ruins.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
morocc.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
morocc_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pay_arche.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payon.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payon_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payon_in02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prontera.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_castle.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_church.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
izlude.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
izlude_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
izlu2dun.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
monk_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_are_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
arena_room.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_arena01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_are01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
glast_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alde_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alde_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alde_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
alde_dun04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
c_tower1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
c_tower2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
c_tower3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
c_tower4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_cas01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_cas02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_church.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_chyard.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_knt01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_knt02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_prison.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_prison1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_sew01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_sew02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_sew03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_sew04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_step.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_room.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_room.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_c_room.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_4-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_5-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_6-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_7-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_8-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_1-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_2-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_3-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_4-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_5-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_6-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_7-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_8-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_1-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_2-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_3-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_4-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_5-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_6-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_7-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_8-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_1-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_2-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_3-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_4-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_5-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_6-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_7-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_8-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_1-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_2-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_3-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_4-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_5-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_6-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_7-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_n_8-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_1-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_2-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_3-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_4-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_5-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_6-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_7-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_8-1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_1-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_2-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_3-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_4-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_5-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_6-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_7-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_8-2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_1-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_2-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_3-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_4-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_5-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_6-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_7-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_8-3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_1-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_2-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_3-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_4-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_5-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_6-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_7-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_8-4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_1-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_2-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_3-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_4-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_5-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_6-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_7-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_y_8-5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
pvp_2vs2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

eque_qsch01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
auction_03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2007rwc_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2007rwc_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2007rwc_03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2007rwc_04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2007rwc_05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2007rwc_06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2007rwc_07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2007rwc_08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_r.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_06.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_07.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
06guild_08.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

evt_hello.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
evt_xmas.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


evt_zombie.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

iz_dun00t.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun01t.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun02t.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun03t.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
iz_dun04t.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
que_god01t.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

ayothaya_e.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
louyang_e.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
morocc_mem.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
payon_mem.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moc_paraup.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


te_prt_gld.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_prtcas01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_prtcas02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_prtcas03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_prtcas04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_prtcas05.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
teg_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_alde_gld.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_aldecas1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_aldecas2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_aldecas3.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_aldecas4.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
te_aldecas5.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
teg_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


gl_cas02_.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gl_chyard_.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#



1@face.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@sara.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dali.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


dali02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#



c_tower2_.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
c_tower3_.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


moro_vol.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
moro_cav.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#



1@glast.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@air1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@air2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


ver_eju.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
ver_tunn.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
verus04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
verus03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#



verus01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
verus02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
un_bk_q.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
un_bunker.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
un_myst.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


lasagna.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lasa_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lasa_fild02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lasa_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lasa_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lasa_dun03.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
conch_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lasa_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
lasa_dun_q.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#




1@mir.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
2@mir.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@sthb.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@sthc.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
1@sthd.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

prt_cas.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_cas_q.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_prison.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_lib.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_lib_q.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_q.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
prt_pri00.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


har_in01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
harboro1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
harboro2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
rockmi1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
rockmi2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
rockrdg1.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
rockrdg2.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


lhz_dun_n.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#



que_swat.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
slabw01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
rebel_in.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


pay_d03_i.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#


gef_d01_i.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

1@jtb.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#




abyss_04.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dew_fild01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#

skagos_02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
skagos_01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
bg_room.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nif_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
nif_dun02.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
gd_dungeon.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
dew_dun01.rsw# 250# 1150# 1400# -360# 360# 0# -50# -65# -65#
